,Symbol,Company,Sector,Historical_Vol_Pct,GK_Volatility_Pct,ATR_Pct,Max_Daily_Gain_Pct,Max_Daily_Loss_Pct,Risk_Level
13,ADANIENT,Adani Enterprises,Conglomerate / Infrastructure,40.66,37.18,3.71,11.5,-22.61,High
11,BAJFINANCE,Bajaj Finance,Banking & Finance,28.17,32.63,3.32,7.01,-7.73,Medium
9,WIPRO,Wipro,Information Technology,27.13,23.39,2.77,6.49,-9.22,Medium
7,SBIN,State Bank of India,Banking & Finance,25.33,28.59,2.79,9.07,-14.4,Medium
3,INFY,Infosys,Information Technology,24.91,25.79,2.91,7.91,-7.26,Medium
12,MARUTI,Maruti Suzuki,Automobile,22.82,25.83,2.97,8.75,-4.74,Medium
1,TCS,Tata Consultancy Services,Information Technology,21.61,23.01,2.66,6.63,-7.01,Medium
0,RELIANCE,Reliance Industries,Oil & Gas / Conglomerate,21.6,20.11,2.31,5.59,-7.49,Medium
8,BHARTIARTL,Bharti Airtel,Telecommunications,21.23,21.79,2.13,4.5,-6.57,Medium
5,HINDUNILVR,Hindustan Unilever,FMCG,20.52,26.87,2.65,5.96,-5.8,Medium
2,HDFCBANK,HDFC Bank,Banking & Finance,19.88,25.75,2.87,5.71,-5.66,Low
4,ICICIBANK,ICICI Bank,Banking & Finance,19.7,23.36,2.7,5.11,-7.63,Low
10,SUNPHARMA,Sun Pharmaceutical,Pharmaceuticals,19.56,26.87,2.81,4.56,-4.55,Low
6,ITC,ITC Limited,FMCG,19.14,18.53,1.7,5.5,-9.71,Low
